timestamp,請求書番号,請求書金額(expected),支払額_before,支払額_after,差额(diff),判定,alert_text
2026-01-07 14:02:33,01021326,10127.00,0.00,10127.00,10127.00,金额无误,
2026-01-07 14:02:34,01021327,11847.00,10127.00,21974.00,11847.00,金额无误,
2026-01-07 14:02:34,01021328,18432.00,21974.00,40406.00,18432.00,金额无误,
2026-01-07 14:02:35,01021544,13352.00,40406.00,53758.00,13352.00,金额无误,
2026-01-07 14:02:36,01021542,3815.00,53758.00,57573.00,3815.00,金额无误,
2026-01-07 14:02:36,01021541,6160.00,57573.00,63733.00,6160.00,金额无误,
2026-01-07 14:02:37,01013490,25667.00,63733.00,89400.00,25667.00,金额无误,
2026-01-07 14:02:38,01013496,3036.00,89400.00,92436.00,3036.00,金额无误,
2026-01-07 14:02:39,01013489,6072.00,92436.00,98508.00,6072.00,金额无误,
2026-01-07 14:02:39,01013491,1907.00,98508.00,100415.00,1907.00,金额无误,
2026-01-07 14:02:40,01013291,2308.00,100415.00,102723.00,2308.00,金额无误,
2026-01-07 14:02:41,01014522,41268.00,102723.00,143991.00,41268.00,金额无误,
2026-01-07 14:02:42,01013290,9196.00,143991.00,153187.00,9196.00,金额无误,
2026-01-07 14:02:42,01013517,8384.00,153187.00,161571.00,8384.00,金额无误,
2026-01-07 14:02:43,01013495,3036.00,161571.00,164607.00,3036.00,金额无误,
2026-01-07 14:02:44,01013494,4794.00,164607.00,169401.00,4794.00,金额无误,
2026-01-07 14:02:44,01013492,1907.00,169401.00,171308.00,1907.00,金额无误,
2026-01-07 14:02:45,01013497,6072.00,171308.00,177380.00,6072.00,金额无误,
2026-01-07 14:02:46,01013493,8811.00,177380.00,186191.00,8811.00,金额无误,
2026-01-07 14:02:47,01013201,5247.00,186191.00,191438.00,5247.00,金额无误,
2026-01-07 14:02:47,01013520,15609.00,191438.00,207047.00,15609.00,金额无误,
2026-01-07 14:02:48,01013518,19581.00,207047.00,226628.00,19581.00,金额无误,
2026-01-07 14:02:49,01013522,20904.00,226628.00,247532.00,20904.00,金额无误,
2026-01-07 14:02:50,01013519,35534.00,247532.00,283066.00,35534.00,金额无误,
2026-01-07 14:02:50,01036407,1907.00,283066.00,284973.00,1907.00,金额无误,
2026-01-07 14:02:51,01036414,16192.00,284973.00,301165.00,16192.00,金额无误,
2026-01-07 14:02:52,01118078,1485.00,301165.00,302650.00,1485.00,金额无误,
